,type,area,bed,bath,toilet,price
0,flat / apartment,Maryland,2 ,2 ,2 ,1000000
1,detached duplex,Lekki,5 ,5 ,6 ,4000000
2,detached duplex,Lekki,4 ,4 ,5 ,3500000
3,terraced duplex,Ikeja,4 ,4 ,5 ,5500000
4,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
5,flat / apartment,Lekki,3 ,3 ,4 ,2500000
6,terraced duplex,Lekki,4 ,4 ,5 ,5000000
7,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
8,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
9,terraced duplex,Lekki,4 ,4 ,5 ,2800000
10,flat / apartment,Ikoyi,3 ,3 ,4 ,9000000
11,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
12,terraced duplex,Ikeja,4 ,4 ,5 ,6500000
13,flat / apartment,Victoria Island,3 ,3 ,4 ,21500000
14,terraced duplex,Ikoyi,4 ,5 ,4 ,15000000
15,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
16,terraced duplex,Lekki,4 ,4 ,5 ,6000000
17,flat / apartment,Ikoyi,4 ,4 ,5 ,18000000
18,terraced duplex,Victoria Island,4 ,5 ,6 ,10000000
19,terraced duplex,Ikoyi,4 ,4 ,5 ,8000000
20,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
21,flat / apartment,Victoria Island,2 ,2 ,3 ,12000000
22,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
23,terraced duplex,Lekki,4 ,4 ,5 ,4500000
24,flat / apartment,Oniru,3 ,3 ,4 ,4000000
25,terraced duplex,Lekki,3 ,3 ,4 ,3700000
26,flat / apartment,Ikoyi,2 ,2 ,3 ,13000000
27,flat / apartment,Ikeja,3 ,3 ,4 ,2500000
28,flat / apartment,Lekki,3 ,3 ,4 ,2800000
29,flat / apartment,Lekki,3 ,3 ,4 ,3500000
30,flat / apartment,Ikoyi,3 ,3 ,4 ,5000000
31,flat / apartment,Lekki,3 ,3 ,4 ,3000000
32,terraced duplex,Lekki,4 ,4 ,5 ,3500000
33,terraced duplex,Lekki,4 ,4 ,5 ,3000000
34,flat / apartment,Ikoyi,3 ,3 ,3 ,6000000
35,flat / apartment,Ikoyi,4 ,4 ,4 ,15000000
36,flat / apartment,Ikoyi,3 ,3 ,3 ,8000000
37,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
38,flat / apartment,Ikoyi,4 ,5 ,6 ,10000000
39,semi detached duplex,Ikoyi,4 ,4 ,5 ,8000000
40,detached duplex,Ikeja,4 ,4 ,5 ,10000000
41,terraced duplex,Lekki,3 ,3 ,4 ,2300000
42,flat / apartment,Ikoyi,4 ,5 ,6 ,15000000
43,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
44,flat / apartment,Ikoyi,3 ,3 ,4 ,5000000
45,semi detached duplex,Lekki,4 ,4 ,5 ,5000000
46,terraced duplex,Oniru,4 ,5 ,4 ,7000000
47,flat / apartment,Ikoyi,4 ,4 ,5 ,15000000
48,terraced duplex,Lekki,4 ,4 ,5 ,24000000
49,flat / apartment,Lekki,3 ,3 ,4 ,5000000
50,flat / apartment,Victoria Island,3 ,3 ,4 ,10000000
51,flat / apartment,Ikoyi,4 ,4 ,5 ,8500000
52,terraced duplex,Ikoyi,4 ,4 ,5 ,11000000
53,flat / apartment,Lekki,3 ,3 ,4 ,3500000
54,flat / apartment,Victoria Island,4 ,4 ,5 ,18000000
55,semi detached duplex,Ojo,4 ,4 ,5 ,4000000
56,terraced duplex,Lekki,3 ,3 ,4 ,3000000
57,flat / apartment,Ikoyi,3 ,3 ,4 ,40000
58,flat / apartment,Lekki,3 ,3 ,4 ,70000000
59,terraced duplex,Lekki,4 ,4 ,5 ,3200000
60,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
61,terraced duplex,Lekki,3 ,3 ,4 ,3000000
62,flat / apartment,Lekki,3 ,3 ,4 ,2600000
63,terraced duplex,Ikoyi,4 ,4 ,4 ,6000000
64,terraced duplex,Lekki,4 ,4 ,5 ,3500000
65,flat / apartment,Oniru,2 ,2 ,2 ,7500000
66,terraced duplex,Ikoyi,4 ,4 ,5 ,13000000
67,flat / apartment,Ajah,4 ,4 ,4 ,1500000
68,terraced duplex,Lekki,3 ,4 ,4 ,3500000
69,flat / apartment,Ikoyi,3 ,3 ,4 ,6000000
70,terraced duplex,Ikoyi,4 ,4 ,5 ,9000000
71,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
72,flat / apartment,Ikoyi,3 ,4 ,4 ,7000000
73,semi detached duplex,Ikoyi,4 ,4 ,5 ,8000000
74,flat / apartment,Victoria Island,3 ,3 ,4 ,13000000
75,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
76,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
77,flat / apartment,Ikoyi,3 ,3 ,4 ,12000000
78,semi detached duplex,Ikoyi,4 ,4 ,5 ,11000000
